0 x;0 y
0.151399;1.244610
3.366779;-8.113722
3.068235;-5.885849
4.426374;-2.046806
2.147748;7.039853
1.328576;1.893299
-0.420813;3.611362
5.546044;3.597417
3.795254;3.956675
2.928286;-3.102088
2.420556;7.160211
3.116637;4.127203
-0.305203;-4.073119
1.569884;1.724807
3.050596;3.767126
-0.805911;-4.896942
7.809308;7.597155
3.913841;-8.713066
13.635885;10.154428
1.652682;-4.678527
5.482230;-5.729309
-0.197438;-2.978291
4.652965;-4.564819
5.412221;-3.922475
-1.852167;9.006533
5.960703;10.319359
-0.349361;4.955674
5.152996;2.606952
4.805332;-3.332961
2.668204;12.350893
2.796512;-5.847411
-2.502937;-1.673426
1.396501;1.927495
-0.640393;9.385038
3.221852;-6.702653
2.999556;8.097994
5.968193;1.150381
2.435050;-1.714223
0.167809;-5.407162
1.268870;7.053181
-1.910586;5.820455
4.560130;-2.933409
1.829997;-3.556888
3.709814;4.735499
1.062392;6.856244
0.871540;3.655810
2.177827;2.770515
5.155568;6.758730
-0.405104;2.041780
-0.615054;10.923591
-1.998814;3.777300
4.694049;-5.583470
4.936442;8.258858
5.028927;-3.055385
2.686503;-8.235557
